Index,Text
170,"Know the blessings of good all of thy days, friend.+"
171,"Fare thee well along the paths of good, wanderer.+"
172,"Quest forever for peace, traveler. Farewell.+"
173,"__+I am truly sorry, but we cannot accept charity cases.+_says $."
174,"Welcome to #. I am $, thy innkeeper this . Is there anything I can do to help thee?+"
175,"Hail and welcome, traveler. I am $, innkeeper of #. Mayhap I canst be of assistance?+"
176,"Welcome to #, adventurer. My name is $, and I own this hostel. May I help thee?+"
177,"Ah, welcome, friend. Thou must have heard of our famed hospitality here at #. I am $, the innkeeper. Is there anything I can do for thee?+"
178,"Then thou hast come to the wrong place.+"
179,"Well, we can't help thee, then.+"
180,"Perhaps another time...+"
181,"Hmm. Well, don't bother me then. Running an inn is hard work.+"
182,"It was a pleasure to serve thee!+"
183,"Good-bye, and please come again!+"
184,"Until next time, farewell!+"
185,"Have a nice day!+"
186,"We have rooms with luxurious feather beds available for % gp."
187,"For % gold, we've got a quaint little room directly over the tavern."
188,"We have a modest room with a double bed for % gold."
189,"Excellent! We have a small but comfortable room available for % gold pieces."
190,"We are a little full right now, but there is always space in the common area for % gp."
191,"+Lord British is missing, and all ye plan to do is SLEEP for a month or so? Not in my inn!+_"
192,"+Whaddya think this is, a morgue? Get that corpse out of here!+ yells_$._"
193,"Unfortunately, thou dost not possess the necessary funds!_GUARDS!+_says $._"
