ItemType,ItemName,ItemSprite,ItemDescription,ItemDescriptionAttribution
Spell,Kal_Xen,260,"Cast spell, go poof!",Brad
Spell,In_Xen_Mani,260,"Cast spell, go poof!",Brad
Spell,Vas_Lor,260,"Cast spell, go poof!",Brad
Spell,Vas_Flam,260,"Cast spell, go poof!",Brad
Spell,In_Flam_Grav,260,"Cast spell, go poof!",Brad
Spell,In_Nox_Grav,260,"Cast spell, go poof!",Brad
Spell,In_Zu_Grav,260,"Cast spell, go poof!",Brad
Spell,In_Por,260,"Cast spell, go poof!",Brad
Spell,An_Grav,260,"Cast spell, go poof!",Brad
Spell,In_Sanct,260,"Cast spell, go poof!",Brad
Spell,In_Sanct_Grav,260,"Cast spell, go poof!",Brad
Spell,Uus_Por,260,"Cast spell, go poof!",Brad
Spell,Des_Por,260,"Cast spell, go poof!",Brad
Spell,Wis_Quas,260,"Cast spell, go poof!",Brad
Spell,In_Bet_Xen,260,"Cast spell, go poof!",Brad
Spell,An_Ex_Por,260,"Cast spell, go poof!",Brad
Spell,In_Ex_Por,260,"Cast spell, go poof!",Brad
Spell,Vas_Mani,260,"Cast spell, go poof!",Brad
Spell,In_Zu,260,"Cast spell, go poof!",Brad
Spell,Rel_Tym,260,"Cast spell, go poof!",Brad
Spell,In_Vas_Por_Ylem,260,"Cast spell, go poof!",Brad
Spell,Quas_An_Wis,260,"Cast spell, go poof!",Brad
Spell,In_An,260,"Cast spell, go poof!",Brad
Spell,Wis_An_Ylem,260,"Cast spell, go poof!",Brad
Spell,An_Xen_Ex,260,"Cast spell, go poof!",Brad
Spell,Rel_Xen_Bet,260,"Cast spell, go poof!",Brad
Spell,Sanct_Lor,260,"Cast spell, go poof!",Brad
Spell,Xen_Corp,260,"Cast spell, go poof!",Brad
Spell,In_Quas_Xen,260,"Cast spell, go poof!",Brad
Spell,In_Quas_Wis,260,"Cast spell, go poof!",Brad
Spell,In_Nox_Hur,260,"Cast spell, go poof!",Brad
Spell,In_Quas_Corp,260,"Cast spell, go poof!",Brad
Spell,In_Mani_Corp,260,"Cast spell, go poof!",Brad
Spell,Kal_Xen_Corp,260,"Cast spell, go poof!",Brad
Spell,In_Vas_Grav_Corp,260,"Cast spell, go poof!",Brad
Spell,In_Flam_Hur,260,"Cast spell, go poof!",Brad
Spell,Vas_Rel_Por,260,"Cast spell, go poof!",Brad
Spell,An_Tym,260,"Cast spell, go poof!",Brad
Item,Carpet,283,"Said to have been brought to Britannia from a faraway land of trackless deserts and strange, humped beasts, the magic carpet is an excellent conveyance for quick travel over swamps, calm waters and other places when ground travel is impeded or imperiled. Since it flies only a handspan from the ground, it cannot be used to pass over mountains, walls, or any sort of high obstruction. Rapid waters will soak it, subjecting its riders to freezing spray and possible drowning.",Paths of Destiny (Ultima V)
Item,Grapple,12,The grapple is an important tool for mountain-climbing.,UltimaCodex.com
Item,Spyglass,89,"Normally used by sailors as a navigational aid, it is possible to study the planets and brighter stars with even a small spyglass. ",Paths of Destiny (Ultima V)
Item,HMSCape,260,"The H.M.S. Cape had seen better days. Algae and ribbons of seaweed covered her. Bloated, dead sailors bobbed with the current, arms and legs tangled in the seaweed and wreckage. I shuddered at the sight of their watery grave, but I did not hesitate.",Ultima: The Avatar Adventures
Item,PocketWatch,256,"A pocket watch is a portable timepiece meant to be kept in one's pocket. Such a device numbers among the scant personal affects that the Avatar brought to Britannia from Earth, and the hero routinely carries this particular pocket watch. ",UltimaCodex.com
Item,BlackBadge,256,Exploring the dark paths of Blackthorn's palace may be quite hazardous to the health of one who is not recognizable as a member of the Oppression.,Paths of Destiny (Ultima V)
Item,WoodenBox,270,What a curious little box... You feel compelled to bring it along on your journey.,Brad
Item,Sextant,256,"The sextant is a tool commonly used in celestial navigation, as it allows its user to take an accurate measurement of a heavenly body relative to the horizon. Once a navigator ascertains this angle, he may use it to reliably determine his geographic position. ",UltimaCodex.com
Item,Vas_Lor,260,"Very dangerous, hurt much",Brad
Item,Rel_Hur,260,"Very dangerous, hurt much",Brad
Item,In_Sanct,260,"Very dangerous, hurt much",Brad
Item,In_An,260,"Very dangerous, hurt much",Brad
Item,In_Quas_Wis,260,"Very dangerous, hurt much",Brad
Item,Kal_Xen_Corp,260,"Very dangerous, hurt much",Brad
Item,In_Mani_Corp,260,"Very dangerous, hurt much",Brad
Item,An_Tym,260,"Very dangerous, hurt much",Brad
Item,Blue,259,"An Zu, which requires a simple mixture of ginseng and garlic, is used to awaken sleeping comrades. An Zu has limitations; it works only on members of the caster's party, it awakens only one person per casting, and it has no lasting preventive effect.",The Book of Lore (Ultima V)
Item,Yellow,259,"This simple spell heals the caster of superficial cuts and bruises, restoring a modicum of vitality.  Although healing spells of higher circles offer relief from injury, Lesser Heal is of great use to inexperienced spell-casters who have no better alternatives. ",The Book of Lore (Ultima V)
Item,Red,259," Few deadly problems are as easy to arrest as poison. So common is the use of poison that alchemists have been able to devise a formula, using the relatively common plants garlic and ginseng, that is effective against nearly every form of poison in nearly every user. However, the magic works on individuals only; thus, simple as it is, novice mages in a party mush have magic endurance among them great enough to cast An Nox as many times as they have afflicted members. Even then, safety is not secured. Strength already sapped by toxins is not regained without peaceful rest or healing magic.",The Book of Lore (Ultima V)
Item,Green,259,"Splashing the potion on an enemy, if hit, the enemy is weakened by the poison, losing much of his fighting power. However, many creatures are immune to this spell, and often enough the poison won't hit or have no effect at all. Just don't poison yourself in the process!",UltimaCodex.com and Brad
Item,Orange,259,"The first mass effect spell the developing magician learns, In Zu causes the scent of poppies to emanate from the caster in an ever-widening wedge, dropping into a sound of sleep all those touched by it. Only the toughest minds and wills may deny it. Note that this spell is just as effective on friend as foe; aim carefully.",The Book of Lore (Ultima V)
Item,Purple,259,Perhaps Grendel got thirsty one night? ,Brad
Item,Black,259,"Sanct Lor affects the path of light, bending it around the caster; so it may continue on. The result is an illusion that the caster is not there. ",The Book of Lore (Ultima V)
Item,White,259,"Adept magicians are relied upon, not only to aid in battle and to repair wounds, but to guide their party wisely. Wis An Ylem provides the necessary insight, by making the hidden apparent. For an instant, the caster may see through the densest forest, tallest mountain and most solid rock. No wall can be too thick, no door too heavy. Requiring intensity of concentration, Wis An Ylem cannot be maintained for more than a flash of time.",The Book of Lore (Ultima V)
Item,Falsehood,436,Very impressive thing you've got here!,Brad
Item,Hatred,436,Very impressive thing you've got here!,Brad
Item,Cowardice,436,Very impressive thing you've got here!,Brad
Item, Amulet,439,Very impressive thing you've got here!,Brad
Item,Crown,437,Very impressive thing you've got here!,Brad
Item,Sceptre,438,Very impressive thing you've got here!,Brad
